MES,FECHA VENTA,LÍNEA DE NEGOCIO,SUBCATEGORÍA 1,SUBCATEGORÍA 2,CANTIDAD,SUBTOTAL,TOTAL,COSTO 1,COSTO 2,COSTO 3,COSTO 4,COSTO 5,COSTO 6,COSTO 7,COSTO 8,COSTO 9,COSTO 10,COSTO 11,COSTO 12,COSTO 13,COSTO 14,COSTO 15,COSTO 16,COSTO 17,COSTO 18,COSTO 19,COSTO 20,COSTO 21,COSTO 22,COSTO 23,COSTO 24,COSTO 25,COSTO 26,COSTO 27,COSTO 28,COSTO 29,COSTO 30,COSTO 31,COSTO 32,COSTO 33,COSTO 34,COSTO 35,COSTO 36,COSTO 37,COSTO 38,COSTO 39,COSTO 40,COSTO 41,COSTO 42,COSTO 43,COSTO 44,COSTO 45,COSTO 46,COSTO 47,COSTO 48,COSTO 49,COSTO 50,COSTO TOTAL SIN IVA,COSTO TOTAL DEL SERVICIO,UTILIDAD BRUTA,MARGEN BRUTO,COL ESPECIAL 1,COL ESPECIAL 2,COL ESPECIAL 3,COL ESPECIAL 4,COL ESPECIAL 5,COL ESPECIAL 6
FEBRERO 2026,,JUR,Alimentos,CARGO BARRA,0,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,EXTRAS,,,,,
FEBRERO 2026,,JUR,Alimentos,SASHIMI CORVINA,0,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,*EXTRAS,,,,,
FEBRERO 2026,,JUR,Alimentos,NIG LOBINA,0,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,*EXTRAS,,,,,
FEBRERO 2026,,JUR,Alimentos,NG ALMEJA CHOCOLATA,0,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,*EXTRA PROTEINA,,,,,
FEBRERO 2026,,JUR,Alimentos,SASHIMI UNI (ERIZO),0,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,*EXTRA PROTEINA,,,,,
FEBRERO 2026,,JUR,Alimentos,SASHIMI KAMPACHI,0,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,*MAKIS,,,,,
FEBRERO 2026,,JUR,Alimentos,NG UNI,0,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,BEBIDAS,,,,,
FEBRERO 2026,,JUR,Alimentos,HELADO VAINILLA,0,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,BEBIDAS,,,,,
FEBRERO 2026,,JUR,Alimentos,ROBALO EXTRA.,0,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,*DONBURI,,,,,
FEBRERO 2026,,JUR,Alimentos,CALIF HUACHINANGO MK.,0,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,*DONBURI,,,,,
FEBRERO 2026,,JUR,Alimentos,CALIF PULPO MK.,0,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,*DONBURI,,,,,
FEBRERO 2026,,JUR,Bebidas,AGUA CIEL MINERAL,0,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,*MAKIS,,,,,
FEBRERO 2026,,JUR,Bebidas,TÉ VERDE,0,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,*MAKIS,,,,,
FEBRERO 2026,,JUR,Alimentos,OTORO DON.,0,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,*MAKIS,,,,,
FEBRERO 2026,,JUR,Alimentos,SPICY CHUTORO DON.,0,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,*MAKIS,,,,,
FEBRERO 2026,,JUR,Alimentos,UNAGI DON.,0,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,EXTRAS,,,,,
FEBRERO 2026,,JUR,Alimentos,CALIF UNAGI MK.,0,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,SASHIMI,,,,,
FEBRERO 2026,,JUR,Alimentos,TEMPURA ROBALO MK.,0,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,ESP TEMAKI,,,,,
FEBRERO 2026,,JUR,Alimentos,SALMON KANIKAMA TM,0,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,TEMAKI,,,,,
FEBRERO 2026,,JUR,Alimentos,SPICY PULPO TM,0,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,ESP TEMAKI,,,,,
FEBRERO 2026,,JUR,Alimentos,SH LOBINA,0,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,ESP NIGIRIS,,,,,
FEBRERO 2026,,JUR,Alimentos,EX HAMACHI,0,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,NIGIRI,,,,,
FEBRERO 2026,,JUR,Alimentos,NG MIRUGAI,0,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,ESP NIGIRIS,,,,,
FEBRERO 2026,,JUR,Alimentos,NG NI ANAGO,0,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,ESP NIGIRIS,,,,,
FEBRERO 2026,,JUR,Alimentos,NG NOTEN,0,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,ESP SASHIMI,,,,,
FEBRERO 2026,,JUR,Alimentos,TOBIKO,0,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,ESP SASHIMI,,,,,
FEBRERO 2026,,JUR,Alimentos,MIRUGAI SH,0,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,ESP COM NIGIRI,,,,,
FEBRERO 2026,,JUR,Alimentos,NOTEN SASHIMI,0,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,ESP COM NIGIRI,,,,,
FEBRERO 2026,,JUR,Alimentos,HAMACHI CON FOIE GRAS,0,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,ESP COM NIGIRI,,,,,
FEBRERO 2026,,JUR,Alimentos,IKURA CON UZURA,0,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,ESP COM NIGIRI,,,,,
FEBRERO 2026,,JUR,Alimentos,KAMA-TORO CON ACEITE TRUFA,0,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,ESP COM NIGIRI,,,,,
FEBRERO 2026,,JUR,Alimentos,NG AMAEBI CON UNI,0,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,ESP COM NIGIRI,,,,,
FEBRERO 2026,,JUR,Alimentos,NG CHU-TORO CON ACEITE TRUFA,0,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,ESP COM NIGIRI,,,,,
FEBRERO 2026,,JUR,Alimentos,NG CHU-TORO CON FOIE,0,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,ESP COM NIGIRI,,,,,
